application_id,business_name,application_date,week_label,requested_amount,entity,jurisdiction,credit_score,risk_rating,interest_rate,pd_probability,risk_band,recommendation,why_flagged,plain_english,assigned_to,decision_status,actual_default_demo
APP-900100,Summit Studio,2026-09-10,This week,310877.0,LLC,AZ,699,4,17.28,0.4126,Moderately risky,Request more docs before decision,higher interest rate (17.3%),Elevated risk - roughly 1 in 2 similar loans may default (41% demo risk).,You (demo),Pending,0
APP-900101,Coastal Autoworks,2026-09-01,Last week,101791.0,Sole Proprietor,TX,581,3,7.19,0.695,Risky,Refer to senior underwriter,lower credit score (581); fewer jobs at investment,High caution - about 1 in 2 similar loans may default (70% demo risk).,A. Patel,Pending,0
APP-900102,Pioneer Boutique,2026-09-02,Last week,159823.0,LLC,WA,626,6,16.08,0.9937,Risky,Refer to senior underwriter,weaker internal risk rating (6); higher interest rate (16.1%); thinner annual revenue,Extremely high chance of default in this demo score.,J. Chen,Pending,1
APP-900103,GreenLeaf Catering,2026-09-05,This week,126154.0,Sole Proprietor,NY,726,2,8.95,0.0068,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 147 similar loans would be expected to default (1% demo risk).,M. Torres,Pending,0
APP-900104,Harbor Logistics,2026-09-05,This week,177499.0,LLC,TX,623,6,12.22,0.6559,Risky,Refer to senior underwriter,weaker internal risk rating (6); higher interest rate (12.2%),High caution - about 1 in 2 similar loans may default (66% demo risk).,You (demo),Pending,1
APP-900105,BrightPath Clinic,2026-08-30,Last week,55938.0,Corp,FL,654,8,12.48,0.996,Risky,Refer to senior underwriter,weaker internal risk rating (8); higher interest rate (12.5%); thinner annual revenue,Extremely high chance of default in this demo score.,A. Patel,Pending,1
APP-900106,Oak & Iron Construction,2026-09-10,This week,60871.0,LLC,CA,664,1,9.86,0.2135,Lower risk,Standard path - approve with usual conditions,multiple extensions (3),About 1 in 5 similar loans would be expected to default (21% demo risk).,J. Chen,Pending,1
APP-900107,Nova Retail Group,2026-09-02,Last week,238112.0,Sole Proprietor,CA,755,3,8.78,0.0047,Lower risk,Standard path - approve with usual conditions,thinner annual revenue; not banked at intake,About 1 in 212 similar loans would be expected to default (0% demo risk).,M. Torres,Pending,0
APP-900108,Skyline HVAC,2026-09-09,This week,162903.0,Partnership,WA,746,5,8.89,0.0162,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 62 similar loans would be expected to default (2% demo risk).,You (demo),Pending,0
APP-900109,Riverbend Farms,2026-09-10,This week,659856.0,Corp,TX,696,2,11.15,0.0101,Lower risk,Standard path - approve with usual conditions,not banked at intake,About 1 in 99 similar loans would be expected to default (1% demo risk).,A. Patel,Pending,0
APP-900110,Summit Studio,2026-09-04,Last week,164391.0,Partnership,IL,643,5,5.67,0.0148,Lower risk,Standard path - approve with usual conditions,not banked at intake,About 1 in 67 similar loans would be expected to default (1% demo risk).,J. Chen,Pending,0
APP-900111,Coastal Autoworks,2026-08-29,Last week,148338.0,Partnership,TX,690,6,5.41,0.0235,Lower risk,Standard path - approve with usual conditions,weaker internal risk rating (6); not banked at intake,About 1 in 42 similar loans would be expected to default (2% demo risk).,M. Torres,Pending,0
APP-900112,Pioneer Boutique,2026-09-01,Last week,214106.0,Corp,IL,629,3,12.06,0.4683,Moderately risky,Request more docs before decision,higher interest rate (12.1%); thinner annual revenue; not banked at intake,Elevated risk - roughly 1 in 2 similar loans may default (47% demo risk).,You (demo),Pending,0
